WKT,osm_id,code,fclass,name
"POINT (10.7573702 59.9239887)","2728492478","2544",furniture_shop,Møbeltapetserer Eddie King
"POINT (10.7526517 59.9383264)","2766817399","2303",cafe,Nazar café-bar
"POINT (10.7403943 59.9270593)","2772110789","2725",artwork,Peter Chr. Asbjørnsen 1812-1855
"POINT (10.741911 59.9279283)","2772119306","2725",artwork,Løvinne med unger
"POINT (10.7414144 59.9277591)","2772123611","2725",artwork,Stadsingeniør O.M. Andersen
"POINT (10.7401759 59.9247736)","2772145317","2725",artwork,Kvinne
"POINT (10.7209721 59.9172239)","2785414553","2011",embassy,Sveriges ambasade
"POINT (10.749743 59.917)","2785637669","2304",pub,Kniven
"POINT (10.723392 59.929854)","2788528055","2547",garden_centre,Oslo TreService
"POINT (10.713795 59.927661)","2788528349","2301",restaurant,Tesoro Pizza
"POINT (10.718273 59.928139)","2788528556","2301",restaurant,Valkyrien Takeaway
"POINT (10.7557602 59.9308923)","2789321759","2722",museum,Arbeidermuseet
"POINT (10.7640972 59.9345225)","2789347939","2303",cafe,Espresso House Torshov
"POINT (10.7589046 59.9268199)","2790201984","2301",restaurant,Ostebutikken
"POINT (10.758931 59.925724)","2790202300","2301",restaurant,Mevlana Kebab & Pizza House
"POINT (10.766939 59.927337)","2790244101","2401",hotel,Anker Apartment
"POINT (10.7247642 59.921601)","2790751413","2011",embassy,Nederlands ambassade
"POINT (10.7235067 59.9194032)","2790986081","2011",embassy,Italias ambassade
"POINT (10.7241415 59.9198099)","2790997313","2011",embassy,Republikken Koreas ambassade
"POINT (10.7237152 59.922165)","2791009870","2011",embassy,Portugals ambassade
"POINT (10.7204733 59.9216165)","2792030989","2724",memorial,Hans Nielsen Hauge 1771-1824
"POINT (10.7217513 59.9219907)","2792034368","2902",bench,
"POINT (10.7143793 59.9241293)","2792078855","2725",artwork,
"POINT (10.7137547 59.9242337)","2792079060","2205",playground,
"POINT (10.7136567 59.924413)","2792079636","2725",artwork,Amaldus Nielsen
"POINT (10.757588 59.9211767)","2919371562","2303",cafe,Espresso House Nordre gate
"POINT (10.7570683 59.9221345)","2919371563","2303",cafe,Retrolykke
"POINT (10.7534487 59.9172003)","2949645533","2305",bar,Crowbar & Bryggeri
"POINT (10.739524 59.923106)","3010287638","2501",supermarket,Kiwi WM.Thranes gate
"POINT (10.738667 59.923005)","3010287642","2543",doityourself,Billakkspesialisten
"POINT (10.73844 59.922903)","3010287643","2561",hairdresser,Oxygen
"POINT (10.738306 59.922837)","3010287644","2301",restaurant,Hokkigai Sushi
"POINT (10.739102 59.922964)","3010287645","2303",cafe,Waldemars Café
"POINT (10.739723 59.9233)","3010287646","2561",hairdresser,Hairport frisør
"POINT (10.761415 59.934073)","3013019481","2501",supermarket,Rema 1000 Torshov
"POINT (10.761499 59.934089)","3013019483","2005",post_office,Torshov post i butikk
"POINT (10.762296 59.938797)","3013732055","2501",supermarket,Rema 1000 Treschows gate
"POINT (10.7548989 59.9317334)","3030462646","2205",playground,
"POINT (10.7542427 59.9314935)","3030462655","2205",playground,
"POINT (10.7545939 59.9315656)","3043779889","2741",picnic_site,
"POINT (10.7557425 59.9324443)","3043815113","2741",picnic_site,
"POINT (10.7543994 59.9326288)","3043827136","2083",kindergarten,Vøyensvingen barnehage
"POINT (10.759097 59.920718)","3064600246","2501",supermarket,Bunnpris Thorvald Meyers gate
"POINT (10.7571409 59.9166149)","3070913889","2501",supermarket,Pollitrus
"POINT (10.7509591 59.9315849)","3105825946","2205",playground,
"POINT (10.7591502 59.9215811)","3110733090","2301",restaurant,Crepêrie de Mari
"POINT (10.7448459 59.9184521)","3111593843","2205",playground,Lille sunniva
"POINT (10.7449381 59.9185908)","3111593845","2252",pitch,
"POINT (10.7352945 59.9380956)","3125995604","2303",cafe,Espresso House Ullevål
"POINT (10.7594437 59.9225461)","3126249725","2512",clothes,Probat
"POINT (10.7641534 59.9337045)","3138859013","2120",doctors,Dr Dropin
"POINT (10.7546535 59.9317778)","3151465313","2252",pitch,
"POINT (10.7549206 59.9319714)","3154365203","2902",bench,Benk
"POINT (10.7548341 59.9319199)","3154374734","2902",bench,Benk
"POINT (10.7552981 59.9318511)","3154375346","2741",picnic_site,Bord
"POINT (10.7584799 59.9182382)","3157533943","2902",bench,
"POINT (10.7564022 59.9185778)","3157533944","2902",bench,
"POINT (10.7557253 59.9190116)","3157533945","2902",bench,
"POINT (10.7529525 59.9254427)","3157533946","2902",bench,
"POINT (10.7532097 59.9264934)","3157533947","2902",bench,
"POINT (10.7535794 59.9268161)","3157533948","2902",bench,
"POINT (10.7581585 59.9309478)","3157533950","2902",bench,
"POINT (10.7560884 59.9193789)","3157534151","2902",bench,
"POINT (10.7552183 59.9195597)","3157534152","2902",bench,
"POINT (10.7533058 59.9241463)","3157534153","2902",bench,
"POINT (10.7540966 59.9269602)","3157535783","2902",bench,
"POINT (10.7553034 59.9278895)","3157535784","2902",bench,
"POINT (10.7573551 59.9306329)","3157535786","2902",bench,
"POINT (10.7580759 59.9315781)","3157535787","2902",bench,
"POINT (10.7585069 59.9324916)","3157535788","2902",bench,
"POINT (10.7582611 59.9308374)","3157535789","2902",bench,
"POINT (10.7388085 59.9161352)","3188653039","2303",cafe,Cafe Amsterdam
"POINT (10.741172 59.92349)","3210742296","2301",restaurant,Loving Hut
"POINT (10.7481524 59.9191448)","3210767983","2301",restaurant,EatHappy Vegan
"POINT (10.763107 59.9332135)","3238430871","2301",restaurant,Hanoi Phó
"POINT (10.7126877 59.9298196)","3277681017","2303",cafe,Café Condio
"POINT (10.7137965 59.9297589)","3277681019","2301",restaurant,Larsen Restaurant & pub
"POINT (10.714953 59.930141)","3277681020","2503",kiosk,Narvesen
"POINT (10.714181 59.9298576)","3277681021","2303",cafe,Perrongen sportspub
"POINT (10.7145449 59.9297264)","3277681024","2004",post_box,
"POINT (10.7417766 59.9162673)","3332698319","2503",kiosk,Ibsen kiosk
"POINT (10.758971 59.923965)","3366591666","2303",cafe,Godt Brød
"POINT (10.758287 59.935264)","3369735523","2205",playground,Hopp i havet
"POINT (10.758287 59.935264)","3369735523","2744",theme_park,Hopp i havet
"POINT (10.742344 59.916905)","3392864698","2301",restaurant,Persia Classic Restaurant
"POINT (10.741777 59.918204)","3392880104","2305",bar,Izakaya
"POINT (10.7404183 59.9177215)","3392881569","2004",post_box,
"POINT (10.740386 59.917704)","3392881570","2005",post_office,St. Olavs plass postkontor
"POINT (10.7596135 59.9183801)","3402500588","2305",bar,Bettola
"POINT (10.764688 59.936641)","3436417128","2120",doctors,Sagene helsestasjon
"POINT (10.7657899 59.9389509)","3440817755","2205",playground,
"POINT (10.7651882 59.9384188)","3440817756","2031",recycling_glass,
"POINT (10.7515869 59.922584)","3440818209","2303",cafe,Jose's Café
"POINT (10.7551524 59.9297534)","3443249610","2742",viewpoint,
"POINT (10.7548172 59.9339469)","3454575206","2902",bench,
"POINT (10.7551258 59.933209)","3454575210","2205",playground,
"POINT (10.7614225 59.9340532)","3454582815","2301",restaurant,Mr. Fish
"POINT (10.7545537 59.9338818)","3454582816","2902",bench,
"POINT (10.7562122 59.9276384)","3454583402","2303",cafe,Kanskje kommer kongen
"POINT (10.7515288 59.9374706)","3466037824","2561",hairdresser,Sagenes Lille Klipp
"POINT (10.751971 59.9372978)","3466058235","2512",clothes,Øye for Klær
"POINT (10.7519736 59.9372212)","3466063452","2561",hairdresser,Frisør & Negle Design
"POINT (10.7519683 59.9371433)","3466067874","2513",florist,Sagene Blomster
"POINT (10.7519496 59.9367677)","3466069837","2511",convenience,Sollie Frukt & Tobakk
"POINT (10.752363 59.9365603)","3466070817","2120",doctors,Sagene Ring legekontor
"POINT (10.752288 59.9368836)","3466073005","2301",restaurant,Bamboo
"POINT (10.7532657 59.9379491)","3471769042","2512",clothes,Se min kjole
"POINT (10.7536286 59.9378884)","3471793828","2519",optician,Shiped Optikk
"POINT (10.7538795 59.937846)","3471809974","2515",bookshop,Sagene Bok og Papir
"POINT (10.7540563 59.9378162)","3471818608","2529",beauty_shop,Klinikk Orkide
"POINT (10.7546053 59.9378614)","3471869888","2303",cafe,Coffeeshop Company
"POINT (10.7560932 59.9376828)","3471875654","2302",fast_food,Super Grill
"POINT (10.7593897 59.9390459)","3471889272","2561",hairdresser,Cirkel Herrefrisør
"POINT (10.7593511 59.9390981)","3471899801","2512",clothes,Kaisas Hus
"POINT (10.7591772 59.9393116)","3471914373","2526",toy_shop,Svovel fabrikkbutikk
"POINT (10.75115 59.9379334)","3473606696","2723",monument,Cay-Cay Tren-Tren
"POINT (10.7229344 59.9397285)","3506913932","2725",artwork,
"POINT (10.7173521 59.9284081)","3514876863","2006",telephone,
"POINT (10.716924 59.928262)","3514876864","2303",cafe,Starbucks
"POINT (10.7635457 59.9409511)","3531665817","2205",playground,
"POINT (10.7637356 59.9212633)","3549921714","2301",restaurant,Lofthus Samvirkelag Apostrophe
"POINT (10.7545356 59.9324602)","3566897874","2902",bench,
"POINT (10.757187 59.919949)","3607116666","2304",pub,BD57
"POINT (10.7128855 59.9275759)","3647843001","2302",fast_food,Thai TakeAway
"POINT (10.7358488 59.9377843)","3654348869","2902",bench,
"POINT (10.7257157 59.9333398)","3654813344","2304",pub,
"POINT (10.72579 59.9333751)","3654813345","2561",hairdresser,
"POINT (10.7280422 59.9345736)","3654813357","2511",convenience,
"POINT (10.7252552 59.9339136)","3655571220","2031",recycling_glass,
"POINT (10.7239627 59.9341584)","3655934652","2741",picnic_site,
"POINT (10.7574984 59.9190722)","3684895009","2512",clothes,Hunting Lodge
"POINT (10.7543768 59.9174568)","3687984625","2303",cafe,Peloton Oslo
"POINT (10.742692 59.920295)","3698483787","2568",laundry,Billig vask&rens
"POINT (10.7581879 59.9291232)","3707892441","2544",furniture_shop,"Jysk Mølla, Oslo"
"POINT (10.7570183 59.9358555)","3707893231","2902",bench,
"POINT (10.7353475 59.9176274)","3708299512","2724",memorial,Adolph Tidemand
"POINT (10.735236 59.9176102)","3708299513","2724",memorial,Adolph Tidemand
"POINT (10.7594262 59.9324286)","3708299514","2724",memorial,Betzy Kjelsberg
"POINT (10.7351858 59.917668)","3708299516","2724",memorial,Halfdan Kjerulf
"POINT (10.7457417 59.9166519)","3708299517","2724",memorial,Hans E. Kinck
"POINT (10.735334 59.917691)","3708299518","2724",memorial,Hans Gude
"POINT (10.7192112 59.919406)","3708299520","2724",memorial,Johan Sebastian Welhaven 1807-1873
"POINT (10.7320573 59.9178298)","3708299521","2724",memorial,Rikard Nordraak
"POINT (10.7203234 59.9228264)","3712490725","2401",hotel,Saga Hotel Oslo
"POINT (10.74021 59.923817)","3717791101","2303",cafe,Rouleur Oslo
"POINT (10.74021 59.923817)","3717791101","2542",bicycle_shop,Rouleur Oslo
"POINT (10.7588362 59.9389019)","3725013326","2724",memorial,Ole Dehli
"POINT (10.736249 59.922109)","3813305058","2501",supermarket,Bunnpris Bislett
"POINT (10.759363 59.925007)","3828856357","2304",pub,Grünerløkka Brygghus
"POINT (10.7612828 59.9367802)","3849098874","2725",artwork,
"POINT (10.7612169 59.940211)","3893230468","2031",recycling_glass,
"POINT (10.7214885 59.9345829)","3912251308","2083",kindergarten,Tusentrippen barnehage
"POINT (10.714929 59.916853)","3965801259","2302",fast_food,El Camino
"POINT (10.761337 59.9342371)","3979406958","2301",restaurant,Starmo Pizzeria
"POINT (10.761286 59.925984)","4014560357","2303",cafe,Cocoa
"POINT (10.7506116 59.9180107)","4065303389","2301",restaurant,Xin Chao
"POINT (10.7520752 59.9221642)","4069242215","2306",food_court,Mathallen
"POINT (10.7521397 59.9229349)","4069242216","2251",sports_centre,Vulkan klatresenter
"POINT (10.7608386 59.9276586)","4076739639","2568",laundry,Thomas Rens
"POINT (10.761254 59.927107)","4076747390","2301",restaurant,Habanero
"POINT (10.7166919 59.929059)","4117349115","2725",artwork,
"POINT (10.7364645 59.9175037)","4131364916","2401",hotel,Smarthotel Oslo
"POINT (10.7279148 59.921051)","4140349042","2512",clothes,Nudie Jeans Repair Shop
"POINT (10.7305253 59.9254163)","4150013401","2303",cafe,Laundromat
"POINT (10.7517878 59.9193326)","4185468590","2721",attraction,Vestbredden
"POINT (10.752404 59.9353587)","4198825614","2725",artwork,Hønse-Lovisa
"POINT (10.7592107 59.9187382)","4200371878","2305",bar,nedre løkka
"POINT (10.7407635 59.9273005)","4200373820","2742",viewpoint,
"POINT (10.7528022 59.9166098)","4214177091","2302",fast_food,Bari Pizza
"POINT (10.74375 59.918116)","4219438419","2302",fast_food,Mimi Sushi
"POINT (10.767165 59.927275)","4286172993","2401",hotel,Anker Apartment
"POINT (10.7214012 59.925942)","4311509489","2511",convenience,Clas Ohlson
"POINT (10.738415 59.916306)","4312274624","2301",restaurant,The Great India
"POINT (10.752843 59.920159)","4312299494","2202",nightclub,Blå
"POINT (10.7557775 59.9276987)","4318206000","2307",biergarten,St. Pauli Biergarten
"POINT (10.754062 59.9164774)","4343892492","2501",supermarket,A Food Market
"POINT (10.7539954 59.9172764)","4343892493","2512",clothes,Arkk
"POINT (10.7537669 59.917385)","4343892494","2512",clothes,Hevn
"POINT (10.7542231 59.9174041)","4343892495","2302",fast_food,Wünderburger
"POINT (10.7594955 59.9235256)","4359079727","2511",convenience,7-Eleven Olaf Ryes plass
"POINT (10.7121366 59.9271114)","4362331304","2542",bicycle_shop,Spinn
"POINT (10.7116312 59.9310248)","4362331306","2542",bicycle_shop,Bull ski & kajakk Majortsua
"POINT (10.7325551 59.9208974)","4362331307","2542",bicycle_shop,Bike Brothers
"POINT (10.7660285 59.9371257)","4459135092","2522",sports_shop,Torshov Sport
"POINT (10.7546645 59.9180268)","4461903490","2725",artwork,
"POINT (10.7166984 59.926421)","4472786098","2561",hairdresser,Viola Frisør
"POINT (10.7378954 59.9227155)","4482888193","2725",artwork,
"POINT (10.7374935 59.9229555)","4482898689","2725",artwork,
"POINT (10.750119 59.928267)","4526793738","2016",market_place,Habsak
"POINT (10.714829 59.9291763)","4540115464","2301",restaurant,Kverneriet
"POINT (10.7511464 59.9234146)","4548858191","2303",cafe,
"POINT (10.7513765 59.9220147)","4548877489","2303",cafe,Hendrix Ibsen
"POINT (10.7549072 59.9190372)","4548877490","2301",restaurant,Way Down South
"POINT (10.7527415 59.9199333)","4566940681","2202",nightclub,Ingensteds
"POINT (10.7552105 59.9196514)","4566940682","2305",bar,SYNG
"POINT (10.721917 59.92668)","4623901187","2501",supermarket,Rema 1000 Industrigata
"POINT (10.7539042 59.9177621)","4635606749","2301",restaurant,Freddy Fuego
"POINT (10.7276875 59.925816)","4657666900","2004",post_box,
"POINT (10.7295623 59.9266071)","4657666901","2031",recycling_glass,
"POINT (10.7279881 59.927741)","4657666902","2004",post_box,
"POINT (10.7285186 59.9278368)","4657666903","2031",recycling_glass,
"POINT (10.7321884 59.928307)","4657666904","2004",post_box,
"POINT (10.7238622 59.9288796)","4657666905","2031",recycling_glass,
"POINT (10.7328345 59.9293887)","4657666906","2031",recycling_glass,
"POINT (10.7174461 59.9294688)","4657666907","2004",post_box,
"POINT (10.7257363 59.9297924)","4657666908","2031",recycling_glass,
"POINT (10.7279373 59.9324508)","4657666909","2031",recycling_glass,
"POINT (10.7113527 59.9310879)","4663467680","2522",sports_shop,XXL
"POINT (10.7205291 59.9274276)","4665880832","2502",bakery,Baker Hansen
"POINT (10.7198304 59.9274722)","4665880833","2524",outdoor_shop,Leisure zone
"POINT (10.7227025 59.9272953)","4665880834","2305",bar,Vin og Kjokken
"POINT (10.7203408 59.9273984)","4665880844","2004",post_box,
"POINT (10.7217474 59.9239401)","4668943440","2031",recycling_glass,
"POINT (10.7231956 59.9252939)","4668943441","2004",post_box,
"POINT (10.747707 59.9182174)","4675218490","2301",restaurant,Den Gode
"POINT (10.7197696 59.9275098)","4677378370","2302",fast_food,Subway
"POINT (10.7197016 59.9275508)","4677378371","2561",hairdresser,
"POINT (10.7195378 59.9275992)","4677378372","2602",atm,
"POINT (10.7195217 59.927665)","4677378373","2520",jeweller,
"POINT (10.7194537 59.9277081)","4677378374","2512",clothes,
"POINT (10.7194097 59.9277422)","4677378375","2512",clothes,
"POINT (10.7404481 59.922835)","4710642443","2542",bicycle_shop,Cycleriet
"POINT (10.7594196 59.922415)","4710642445","2542",bicycle_shop,Sykkelpikene
"POINT (10.7625289 59.9358405)","4733050210","2031",recycling_glass,Bentsehjørnet minigjenbruksstasjon
"POINT (10.7511359 59.9205787)","4733060049","2031",recycling_glass,Fredensborg minigjenbruksstasjon
"POINT (10.727255 59.921986)","4733576814","2301",restaurant,Lille Asia
"POINT (10.7511561 59.9164309)","4736654458","2301",restaurant,Lille Saigon 1
"POINT (10.7508253 59.9166632)","4736654459","2304",pub,Pöbel
"POINT (10.7504986 59.91675)","4736654460","2303",cafe,Mela Café
"POINT (10.7524205 59.9176464)","4736654465","2592",vending_parking,
"POINT (10.7507658 59.9181776)","4736654479","2544",furniture_shop,FS møbler
"POINT (10.7489107 59.9163212)","4736654485","2302",fast_food,Burger Bite
"POINT (10.7522701 59.9165583)","4736684797","2302",fast_food,Burger King
"POINT (10.7530773 59.9167294)","4739354642","2511",convenience,7-Eleven Osterhaus gate
"POINT (10.7525373 59.9164839)","4739354643","2302",fast_food,Kebab kompaniet
"POINT (10.7527044 59.9165526)","4739354644","2517",shoe_shop,Dr. Martens
"POINT (10.7553531 59.9178095)","4754833637","2725",artwork,
"POINT (10.7540467 59.9176866)","4754833645","2305",bar,Verkstedet
"POINT (10.7537853 59.91784)","4754833646","2301",restaurant,Punjab Tandoori
"POINT (10.7549527 59.9174835)","4754833647","2301",restaurant,Calle's Mat og Vinhus
"POINT (10.7540992 59.9173314)","4754833649","2512",clothes,Whyred
"POINT (10.7534384 59.9169718)","4754833651","2301",restaurant,Asian Street Food
"POINT (10.753603 59.9170648)","4754833652","2561",hairdresser,Mehran
"POINT (10.7537197 59.9171292)","4754833653","2567",travel_agent,Internasjonal Tour AS
"POINT (10.7535691 59.9172644)","4754833656","2302",fast_food,Mediterranean grill
"POINT (10.719583 59.9302194)","4771824825","2561",hairdresser,
"POINT (10.7316941 59.9224152)","4775886935","2301",restaurant,Git Bit
"POINT (10.7574974 59.9189351)","4880928139","2305",bar,Vin&Vinyl
"POINT (10.7386546 59.9163255)","4892470921","2303",cafe,Lemongrass
"POINT (10.7594614 59.9192329)","4908019921","2903",drinking_water,Kaikola
"POINT (10.7511929 59.9233896)","4936700057","2301",restaurant,Sapporo Ramen Bar
"POINT (10.759592 59.918715)","4938844961","2101",pharmacy,Ditt Apotek Grünerløkka
"POINT (10.7608427 59.925418)","4941785901","2542",bicycle_shop,OsloVelo
"POINT (10.7467365 59.9205472)","4958779906","2725",artwork,Nils Holgersson-gåsen
"POINT (10.7428669 59.9250442)","4958796375","2561",hairdresser,Ekte Frisør
"POINT (10.7455556 59.9231445)","4958799835","2303",cafe,
"POINT (10.7460144 59.9234709)","4958799838","2724",memorial,
"POINT (10.7459352 59.9233938)","4958799849","2902",bench,
"POINT (10.7469634 59.9219406)","4958799866","2592",vending_parking,
"POINT (10.7400158 59.9245082)","4958799876","2902",bench,
"POINT (10.7400189 59.9244883)","4958799877","2902",bench,
"POINT (10.7400412 59.924881)","4958799878","2902",bench,
"POINT (10.7399461 59.9259266)","4958809847","2902",bench,
"POINT (10.7399129 59.9259323)","4958809848","2902",bench,
"POINT (10.7398729 59.9259389)","4958809849","2902",bench,
"POINT (10.7398021 59.925951)","4958809850","2902",bench,
"POINT (10.7396612 59.9259733)","4958809851","2902",bench,
"POINT (10.7399916 59.9259273)","4958809852","2906",waste_basket,
"POINT (10.7415596 59.9263134)","4958809854","2906",waste_basket,
"POINT (10.7417557 59.9262338)","4958809856","2902",bench,
"POINT (10.7575496 59.9209522)","4967031821","2521",gift_shop,Søstrene Grene
"POINT (10.7661926 59.9276522)","4969336422","2566",bicycle_rental,
"POINT (10.7267907 59.9234962)","4980322321","2725",artwork,Frondi tenere e belle
"POINT (10.7195312 59.9260286)","5001340098","2544",furniture_shop,Pur Norsk
"POINT (10.7575083 59.9196171)","5004548176","2512",clothes,Ask & Embla
"POINT (10.7575083 59.919954)","5004548177","2512",clothes,Frøken Dianas salonger
"POINT (10.7575806 59.9212627)","5004548178","2518",beverages,Gulating
"POINT (10.7575289 59.9213359)","5004548179","2303",cafe,Joe & The Juice
"POINT (10.7575206 59.9215842)","5004548180","2521",gift_shop,TGR
"POINT (10.7594294 59.9246487)","5004548182","2301",restaurant,Cultivate Food
"POINT (10.7534875 59.9165246)","5005278658","2561",hairdresser,Mood studio
"POINT (10.753353 59.9166079)","5005278659","2305",bar,Brus
"POINT (10.7536339 59.9255055)","5006070765","2906",waste_basket,
"POINT (10.7521884 59.9381713)","5018497529","2252",pitch,
"POINT (10.7521683 59.938152)","5018497530","2252",pitch,
"POINT (10.750093 59.917126)","5031725933","2305",bar,
"POINT (10.7317922 59.9227466)","5075535121","2303",cafe,
"POINT (10.7630769 59.9191024)","5091617733","2301",restaurant,Taco City
"POINT (10.7631471 59.9188825)","5091617734","2525",mobile_phone_shop,Euro Mobile
"POINT (10.762686 59.9187162)","5091617735","2302",fast_food,Hersleb Grill Og Bistro
"POINT (10.764074 59.9194004)","5091617737","2301",restaurant,Saray Restaurant
"POINT (10.7627923 59.9190171)","5091617738","2561",hairdresser,Estetic Frisør
"POINT (10.7637687 59.9192922)","5091617739","2302",fast_food,The Greasy House
